Candidato;Partido;Ordem2;Circ;Gend
António Filipe Dias Melo Peixoto;CH;1;braga;1
Rodrigo Santos Alves Taxa;CH;2;braga;1
Vanessa Cláudia Nogueira da Rosa Barata;CH;3;braga;0
Paulo Alexandre Matos Pimenta;CH;4;braga;1
Nuno Miguel Jesus Vaz Monteiro;CH;5;braga;1
Lúcia Maria Corujeira Peixoto;CH;6;braga;0
Carlos Alberto Barbosa Vieira Pinto;CH;7;braga;1
Carlos Alberto Rodrigues Pizarro;CH;8;braga;1
Ana Rita Freitas Castro;CH;9;braga;0
João Pereira Gomes;CH;10;braga;1
Manuel José Rodrigues da Cunha Pereira;CH;11;braga;1
Ana Rita Ferreira Martins Gomes;CH;12;braga;0
Jorge Manuel Pinheiro Afonso;CH;13;braga;1
Maria Carminda Teixeira Campos;CH;14;braga;0
Gilberto Vítor Cunha Nogueira;CH;15;braga;1
Pedro Manuel Soares Alves;CH;16;braga;1
Mónica de Jesus da Costa Teixeira;CH;17;braga;0
Filipe José Lima Aguiar;CH;18;braga;1
Liliana Patrícia de Abreu Fernandes;CH;19;braga;0
José Júlio Vaz Pires;CH;1;braKanca;1
Ricardo Daniel Alves Garcia;CH;2;braKanca;1
Cidália de Fátima Afonso de Almeida Martins;CH;3;braKanca;0
João Filipe Dias Ribeiro;CH;1;castelo_b;1
Cátia Filipa Vicente Pinto;CH;2;castelo_b;0
Paulo Jorge de Carvalho Mendes;CH;3;castelo_b;1
Maria da Conceição Martins Pereira;CH;4;castelo_b;0
Paulo Alexandre Mendes Patrício Ferreira Ralha;CH;1;coimbra;1
Paulo Jorge Rodrigues Nogueira Seco;CH;2;coimbra;1
Ana Lúcia Lopes Curado;CH;3;coimbra;0
Eliseu da Costa Neves;CH;4;coimbra;1
António José Rodrigues Henriques;CH;5;coimbra;1
Carina Sofia Barata Duarte;CH;6;coimbra;0
Augusto José Domingues Louro de Miranda;CH;7;coimbra;1
Paulo Sérgio dos Reis Vaz;CH;8;coimbra;1
Carolina Simões Veloso;CH;9;coimbra;0
Edalberto Tomás Macau Fitas Figueiredo;CH;1;evora;1
Carlos Magno Valença Ferreira Walter de Magalhães;CH;2;evora;1
Ana Inês Martins Esquível Pereira;CH;3;evora;0
Pedro Miguel Soares Pinto;CH;1;faro;1
João Paulo da Silva Graça;CH;2;faro;1
Sandra Margarida de Melo Pereira Ribeiro;CH;3;faro;0
Sandra Marisa Godinho de Oliveira Castro;CH;4;faro;0
António Ricardo Correia Moreira;CH;5;faro;1
Raquel Alexandra Matias da Fonseca Pelicano Rodrigues Pereira;CH;6;faro;0
Fernando Jorge da Encarnação dos Santos;CH;7;faro;1
Anaisa Pera Gonçalves;CH;8;faro;0
José Paulo Barbosa Moreira de Sousa;CH;9;faro;1
José António dos Santos Marques;CH;1;guarda;1
Pedro de Almeida;CH;2;guarda;1
Maria Olívia Martins Teixeira;CH;3;guarda;0
Gabriel Sérgio Mithá Ribeiro;CH;1;leiria;1
Luís Paulo Pereira Fernandes;CH;2;leiria;1
Carina Ascenso Francisco;CH;3;leiria;0
Edmundo Jorge Dos Santos Carvalho;CH;4;leiria;1
Cristina Maria Vieira Henriques;CH;5;leiria;0
Pedro José Valinha Sampaio;CH;6;leiria;1
Sandra Marisa Ferreira De Sousa;CH;7;leiria;0
João Paulo Hermenegildo;CH;8;leiria;1
Albertino Manuel Catarina Alves;CH;9;leiria;1
Katia Dolores Galhardo Antunes;CH;10;leiria;0
André Claro Amaral Ventura;CH;1;lisboa;1
Rui Paulo Duque Sousa;CH;2;lisboa;1
Rita Maria Cid Matias;CH;3;lisboa;0
Pedro Manuel de Andrade Pessanha Fernandes;CH;4;lisboa;1
Sofia de Figueiredo Seabra Diniz;CH;5;lisboa;0
Luís Filipe Ramos Gonçalves Pereira;CH;6;lisboa;1
Patrícia Isabel Morgado de Almeida;CH;7;lisboa;0
Nuno Jorge Ferreira Pardal Ribeiro;CH;8;lisboa;1
Maria João Ferreira Saldanha;CH;9;lisboa;0
Vítor Hugo Baptista Cacito;CH;10;lisboa;1
Patrícia Ana Pappamikail Branco de Almeida;CH;11;lisboa;0
Francisco José O’Neill da Silva Marques;CH;12;lisboa;1
Maria Helena Martins Campos de Assunção;CH;13;lisboa;0
João Ferreira Lopes Aleixo;CH;14;lisboa;1
Rogério António Pinto de Melo Moreira;CH;15;lisboa;1
Felicidade Maria da Silva Santos Vital de Alcântara;CH;16;lisboa;0
João Nuno Afonso Rodrigues dos Santos;CH;17;lisboa;1
Paulo Alexandre Brito de Freitas Lopes;CH;18;lisboa;1
Andrea Victoria Malhado Vieira Ramos Lopes Aleixo;CH;19;lisboa;0
Renato Manuel Filipe Henriques;CH;20;lisboa;1
Nuno Paulo de Sá Carneiro Soares Beirão;CH;21;lisboa;1
Paula Virgínia Lima Teixeira;CH;22;lisboa;0
José Manuel Pombinho Barreira Soares;CH;23;lisboa;1
Luís Filipe Pereira Direitinho;CH;24;lisboa;1
Ana Cristina Carreira Carvalho;CH;25;lisboa;0
Fernando Manuel de Almeida Pedroso;CH;26;lisboa;1
Pedro Miguel Guerreiro Magrinho;CH;27;lisboa;1
Daniela Patrícia Gomes Lopes;CH;28;lisboa;0
Manuel da Luz do Nascimento;CH;29;lisboa;1
Pedro António Carvalho Maia Teodoro dos Santos;CH;30;lisboa;1
Patrícia Susana Carvalho da Silva;CH;31;lisboa;0
Ana Margarida Dias Raimundo Guerreiro;CH;32;lisboa;0
Carlos Miguel Gonçalves Sequeira;CH;33;lisboa;1
Cristiano Filipe Martins Conduto;CH;34;lisboa;1
Rute Isabel Teixeira Lopes Monteiro;CH;35;lisboa;0
João Manuel Figueiredo Duarte;CH;36;lisboa;1
António José Moinheiro dos Reis;CH;37;lisboa;1
Maria de Fátima Gaspar Pinto;CH;38;lisboa;0
Aquilino José Marques Ventura;CH;39;lisboa;1
Nelson José Morais dos Santos;CH;40;lisboa;1
Cristina Isabel Moreira Vieira;CH;41;lisboa;0
José Júlio da Silva Rodrigues de Almeida;CH;42;lisboa;1
Diana Sofia Pires Monteiro Neves;CH;43;lisboa;0
Ana Maria Marques Peres;CH;44;lisboa;0
João Diogo Guerra Neves;CH;45;lisboa;1
Cátia Alexandra Simões Augusto;CH;46;lisboa;0
Cristina Maria Moreira de Figueiredo;CH;47;lisboa;0
Nuno Miguel Soares Teixeira da Silva;CH;48;lisboa;1
Júlio José Pires Paixão;CH;1;portalegre;1
Maria Teresa Seno da Silva Samarra;CH;2;portalegre;0
Rui Pedro Da Silva Afonso;CH;1;porto;1
Diogo Velez Mouta Pacheco de Amorim;CH;2;porto;1
Marta Sofia Martins da Silva Trindade;CH;3;porto;0
Nuno Miguel Ribeiro Pontes;CH;4;porto;1
Joana Maria Geraldes Malheiro Machado Guimarães;CH;5;porto;0
Alcides do Couto Pereira;CH;6;porto;1
Marcus Vinicius Teixeira Soares dos Santos;CH;7;porto;1
Ana Cecília Pereira de Castro Caldeira Figueiredo;CH;8;porto;0
Carlos Alexandre Fernandes Dias;CH;9;porto;1
Filipe Emanuel de Sousa Macedo;CH;10;porto;1
Maria Helena Tavares de Amaral Fernandes Costa;CH;11;porto;0
Raul Gabriel Palha Bessa Melo;CH;12;porto;1
Paulo António Santos Silva Martins;CH;13;porto;1
Dulce Patrícia Ferreira Soares Guedes;CH;14;porto;0
Álvaro Manuel dos Santos Costa;CH;15;porto;1
António Luis Vilela Baptista;CH;16;porto;1
Patrícia Catarina Moreira Leão;CH;17;porto;0
Alberto Joaquim Alves Ribeiro;CH;18;porto;1
Jorge Manuel Mendes da Silva;CH;19;porto;1
Sónia Cristina de Sousa Monteiro;CH;20;porto;0
Rúben Mendanha Portilha;CH;21;porto;1
Patrícia Helena Freitas Magalhães;CH;22;porto;0
Frederico Marcelo Mendes Teixeira;CH;23;porto;1
Pedro Justino Paiva Neves;CH;24;porto;1
Alexandra Maria Lopes Oliveira Mendes Oliveira;CH;25;porto;0
Nélson Filipe Freitas Soares da Cruz;CH;26;porto;1
José Luis Cardoso de Vasconcelos;CH;27;porto;1
Sabina Manuela Carvalho de Sousa Valente;CH;28;porto;0
Carlos Alberto dos Santos Fonseca;CH;29;porto;1
Susana Alexandra de Leite Moreira;CH;30;porto;0
Sérgio Henrique Ferreira Gomes;CH;31;porto;1
Maria do Carmo Gomes Ribeiro Lopes;CH;32;porto;0
Jorge Miguel Costa Neves;CH;33;porto;1
Vítor Domingos da Silva Brandão;CH;34;porto;1
Anabela Castro Canas Fachadas;CH;35;porto;0
Sofia da Conceição Alves Teixeira;CH;36;porto;0
Nuno Filipe de Almeida Carvalho;CH;37;porto;1
Ana Cristina Catarino Pereira da Silva´;CH;38;porto;0
Carlos Fernando Lopes de Oliveira Sousa;CH;39;porto;1
Tiago da Rocha Lages;CH;40;porto;1
Pedro Saraiva Gonçalves dos Santos Frazão;CH;1;santarem;1
Pedro Alexandre Arrabaça da Silva Oliveira Correia;CH;2;santarem;1
Catarina Rita Ferreira Girão Salgueiro da Costa;CH;3;santarem;0
José Frederico Abecassis Dotti;CH;4;santarem;1
Maria Helena Simas da Gama Lobo Salema Lino;CH;5;santarem;0
Agostinho Martins de Carvalho;CH;6;santarem;1
Alfredo Miguel Garcia Coelho;CH;7;santarem;1
Luísa Maria Lobo da Costa Macedo Areosa Ribeiro;CH;8;santarem;0
Sílvio Soares da Conceição;CH;9;santarem;1
Bruno Miguel de Oliveira Nunes;CH;1;setubal;1
Patrícia Alexandra Martins de Carvalho;CH;2;setubal;0
Carlos Manuel Saraiva Medeiros;CH;3;setubal;1
Eduardo Manuel dos Santos Mendes;CH;4;setubal;1
Carla Sofia Carapeto da Silva Couto de Oliveira;CH;5;setubal;0
Nuno Alexandre Oliveira Mendes;CH;6;setubal;1
Alice Paula Caruchinho Gabriel Seixas;CH;7;setubal;0
Marco António Simões da Silva Teixeira Roque;CH;8;setubal;1
Milene da Silva Oliveira Viana;CH;9;setubal;0
João Paulo de Sousa da Silva Gaspar;CH;10;setubal;1
Maria Inês Correia de Carvalho Pereira;CH;11;setubal;0
João Pedro Guterres Peixoto Pereira;CH;12;setubal;1
Cláudia Sofia Louro Figueiredo;CH;13;setubal;0
José Carlos da Silva Ferreira;CH;14;setubal;1
Cátia Isabel Gervásio;CH;15;setubal;0
Bruno Francisco Pinheiro Máximo dos Santos;CH;16;setubal;1
Sílvia Marina de Melo Montanha;CH;17;setubal;0
Bruno do Nascimento Correia;CH;18;setubal;1
Manuel José Rego Moreira;CH;1;viana_c;1
Natividade Maria Cândida Barbosa;CH;2;viana_c;0
Artur Alberto Dias Trindade;CH;3;viana_c;1
Ana Rita Lago Lima;CH;4;viana_c;0
Germano Augusto Faria de Miranda;CH;5;viana_c;1
Gabriela da Dores Lima de Barros Araújo;CH;6;viana_c;0
Maria Manuela Pereira Tender;CH;1;vila_r;0
Sérgio Miguel Parra Ramos;CH;2;vila_r;1
Carlos Jorge Moura Fecha;CH;3;vila_r;1
Helena Ferreira Fraga;CH;4;vila_r;0
Eduardo Cassiano Nogueira Pinto Miranda;CH;5;vila_r;1
João José Rodrigues Tilly;CH;1;viseu;1
Amélia Maria da Silva Soares;CH;2;viseu;0
Pedro Figueiredo Lopes Blanco;CH;3;viseu;1
Sandra Monteiro Lourenço;CH;4;viseu;0
Sérgio Rui Reis Serrador;CH;5;viseu;1
Hugo Manuel Rodrigues Batista;CH;6;viseu;1
Maria Cristina Correia do Vale;CH;7;viseu;0
Paulo Alexandre da Silva Lopes;CH;8;viseu;1
Martinho Filipe de Jesus Gouveia;CH;1;madeira;1
Luis Filipe de Sá Vieira;CH;2;madeira;1
Maria Otília Ramos Sousa;CH;3;madeira;0
Celestino Gomes Sebastião;CH;4;madeira;1
Maria Juliana Fernandes da Silva;CH;5;madeira;0
Júlia Iara Silva Alves Figueira;CH;6;madeira;0
José Eduardo da Cunha Pacheco;CH;1;acores;1
Francisco Gabriel Meneses de Lima;CH;2;acores;1
Olivéria de Lurdes Cabral dos Santos;CH;3;acores;0
Fernando Luís Hintze Ataíde Mota;CH;4;acores;1
José Macedo Rodrigues Bernardo;CH;5;acores;1
José Dias Fernandes;CH;1;europa;1
Sandra Catarina Gomes Pereira de Aguiar Caridade;CH;2;europa;0
João Júlio Janela Baptista da Silva;CH;1;fora;1
Manuel Maria Beninger Simões Correia;CH;2;fora;1
Márcio Cristiano Oliveira Santos;IL;1;aveiro;1
Ricardo Jorge Fernandes Campelo de Magalhães;IL;2;aveiro;1
Ana Cláudia Breda;IL;3;aveiro;0
Miguel António Marques Gomes;IL;4;aveiro;1
Tomás Silva Ramos Pereira;IL;5;aveiro;1
Ana Rita Santos Bastos Silva;IL;6;aveiro;0
Duarte António da Cruz Gomes Alves da Costa;IL;7;aveiro;1
Eduardo José Oliveira Nobre de Almeida Costa;IL;8;aveiro;1
Carla Cristina Neves de Lima Abreu;IL;9;aveiro;0
Diogo Nuno Pereira Gomes;IL;10;aveiro;1
Paulo Jorge da Silva Vieira;IL;11;aveiro;1
Liliana Raquel Pereira Dias;IL;12;aveiro;0
Andreia Filipa Santos Oliveira;IL;13;aveiro;0
Pedro Miguel Correia Ferreira;IL;14;aveiro;1
Vânia Sofia Gomes da Fonte;IL;15;aveiro;0
Mariene Cristina Alves de Almeida;IL;16;aveiro;0
Ana Paula Marques Pereira;IL;1;beja;0
Miguel Burguete de Bacelar Marreiros Figueira;IL;2;beja;1
Luís Filipe Mestre Campaniço Guerreiro Sebastião;IL;3;beja;1
Rui Nuno de Oliveira Garcia da Rocha;IL;1;braga;1
Olga Maria de Oliveira Baptista;IL;2;braga;0
Paulo Manuel Gonçalves da Silva;IL;3;braga;1
Sílvia Gonçalves Abreu Pinheiro;IL;4;braga;0
Paulo Ricardo Heleno Pereira Lopes;IL;5;braga;1
Jorge Miguel Gomes da Silva;IL;6;braga;1
Maria Elisabete da Silva Gonçalves;IL;7;braga;0
Marcos Filipe Teles Fraga de Castro;IL;8;braga;1
Maria de Lurdes Varregoso Silva da Costa Mesquita;IL;9;braga;0
Alexandre Jorge Rebelo Matos;IL;10;braga;1
Miguel Francisco de Almeida Pereira da Rocha;IL;11;braga;1
Sandra de Fátima Moreira de Sousa Lobo;IL;12;braga;0
João Pedro Costa Cardoso;IL;13;braga;1
Adriana Sofia Pacheco Carvalho Araújo;IL;14;braga;0
Gil Fernandes Teixeira Leitão;IL;15;braga;1
Sandra Cristina Campos da Costa;IL;16;braga;0
Andreia Sofia Cardoso Ferreira;IL;17;braga;0
Mário Joel Matos Veiga de Oliveira Queirós;IL;18;braga;1
João Pedro das Neves Oliveira Pinto;IL;19;braga;1
Maria Teresa Santos Aguiar;IL;1;braKanca;0
André Filipe Diegues Fernandes;IL;2;braKanca;1
Patrícia Maria Gonçalves Silva;IL;3;braKanca;0
Diogo Manuel Raposo Oliveira;IL;1;castelo_b;1
Miguel João Fernandes Garcia;IL;2;castelo_b;1
Inês João Azevedo Gouveia Leitão;IL;3;castelo_b;0
Pedro Miguel da Silva Roque;IL;4;castelo_b;1
Orlando José Mendes Monteiro da Silva;IL;1;coimbra;1
Tiago André Magalhães Meireles Ribeiro;IL;2;coimbra;1
Inês Catarina Neves Rosa;IL;3;coimbra;0
Fernando Manuel da Conceição Gomes da Costa;IL;4;coimbra;1
Vanda Patrícia Henriques Duarte Lopes;IL;5;coimbra;0
João Manuel da Silva Matos da Cruz;IL;6;coimbra;1
Maria Isabel Vaz Videira;IL;7;coimbra;0
Luís Miguel Figueiredo Nunes;IL;8;coimbra;1
Ana Cláudia Alexandre Miranda Lima;IL;9;coimbra;0
Maria João Escada Cardoso Cabral;IL;1;evora;0
David Firmino Aparício Dias;IL;2;evora;1
Raquel Andreia D’Almeida Mendonça de Araújo;IL;3;evora;0
Cláudia Ramos Neto Beleza de Vasconcelos;IL;1;faro;0
João Manuel Caetano Dias;IL;2;faro;1
Maria Santos Marques Páramos Merino Baptista;IL;3;faro;0
Bernardo Lopes Fernandes;IL;4;faro;1
Maria Salomé Vieira Luz Carriço da Silva;IL;5;faro;0
António Paula Brito de Pina;IL;6;faro;1
Joaquim Jacinto Lourenço;IL;7;faro;1
Carolina Lindo Rodrigues;IL;8;faro;0
Daniel Martins Viegas;IL;9;faro;1
Ângelo Filipe da Silva Videira dos Santos;IL;1;guarda;1
Luísa Isabel Borges Miranda Quaresma Magoito;IL;2;guarda;0
Hernâni Fortunato Marques;IL;3;guarda;1
Dário Rafael Pinto Florindo;IL;1;leiria;1
Nuno Filipe Agostinho Carrasqueira;IL;2;leiria;1
Sílvia Maria Marques Santos e Sousa;IL;3;leiria;0
Antonio Vasco Petrucci Sousa;IL;4;leiria;1
Joaquim Augusto de Jesus Leitão;IL;5;leiria;1
Sónia Margarida Carreira da Conceição;IL;6;leiria;0
Pedro Costa Marques;IL;7;leiria;1
Liliana Patrícia Gonçalves Gomes;IL;8;leiria;0
Afonso Silvestre Grilo;IL;9;leiria;1
Miguel Ângelo Pires Trindade Silvestre;IL;10;leiria;1
João Fernando Cotrim Figueiredo;IL;1;lisboa;1
Carla Maria Proença de Castro Charters de Azevedo;IL;2;lisboa;0
Rodrigo Miguel Dias Saraiva;IL;3;lisboa;1
Bernardo Alves Martinho Amaral Blanco;IL;4;lisboa;1
Maria Leonor Cano Crespo Dargent;IL;5;lisboa;0
Bruno Orlando Nunes Mourão Martins;IL;6;lisboa;1
André Filipe Gonçalves Pereira Abrantes Amaral;IL;7;lisboa;1
Mariana de Lemos Quintão Correia Leitão;IL;8;lisboa;0
Paulo Jorge Leal da Silva Carmona;IL;9;lisboa;1
Ana Micaela Pedrosa-Augusto;IL;10;lisboa;0
Gonçalo Levy Cordeiro;IL;11;lisboa;1
Eunice Sofia Guerra Duarte Quintas;IL;12;lisboa;0
Filipe Jorge de Sousa Martins;IL;13;lisboa;1
Anabela da Silva Guerreiro;IL;14;lisboa;0
Nuno Rodrigo Branco Ferreira Santos Fernandes;IL;15;lisboa;1
Filomena Maria Alcobia Francisco;IL;16;lisboa;0
Gualdim José Dionísio dos Ramos;IL;17;lisboa;1
Joana Fernandes Hipólito;IL;18;lisboa;0
Ana Mafalda Sim-Sim da Cunha Neves;IL;19;lisboa;0
João José Melato Ribeiro;IL;20;lisboa;1
Miguel Ângelo Ribeiro Martins;IL;21;lisboa;1
Ana Paula Salgueiro de Bastos Moura;IL;22;lisboa;0
Tiago José Godinho Tajola;IL;23;lisboa;1
Nuno Miguel de Jesus Grilo Cavalheiro;IL;24;lisboa;1
Marta Alexandra Ferreira Gamboa;IL;25;lisboa;0
Fernando José de Barros Antunes;IL;26;lisboa;1
Raquel Filipa Gregório Simões;IL;27;lisboa;0
Nuno Miguel Mendes Gregório;IL;28;lisboa;1
Beatriz de Almeida Martins;IL;29;lisboa;0
Vítor Manuel Jesus Martins;IL;30;lisboa;1
Jorge Ricardo Correia Lourenço Pires;IL;31;lisboa;1
Maria Inês da Silva Ruivo Antunes;IL;32;lisboa;0
Clara Leonor de Gamboa e Lima Villaverde Cotrim;IL;33;lisboa;0
Pedro Vieira da Silva Arteiro;IL;34;lisboa;1
Nuno Miguel Miranda Ataíde;IL;35;lisboa;1
Paula de Matos Castilho Borges;IL;36;lisboa;0
Tiago Filipe Jorge da Silva;IL;37;lisboa;1
Joana Maria Ribeiro de Oliveira Matias;IL;38;lisboa;0
Miguel Ângelo Fernandes Cardoso;IL;39;lisboa;1
Cláudia Cristina Martins Ascensão Nunes;IL;40;lisboa;0
Filipe Miguel dos Santos Ratão;IL;41;lisboa;1
Daniel Alexandre de Carvalho Gonçalves;IL;42;lisboa;1
Maria da Graça de Oliveira Simões;IL;43;lisboa;0
João Carlos Alves de Mendonça Arrais;IL;44;lisboa;1
Álvaro da Costa Cabral e Gil;IL;45;lisboa;1
Sandra Raquel Carvalho Abreu;IL;46;lisboa;0
Miguel Jesus Neves Ferreira da Silva;IL;47;lisboa;1
Bruno Horta Soares;IL;48;lisboa;1
Carlos Manuel Soares Chagas Roquette;IL;1;portalegre;1
Helena Maria Garraio Nabais;IL;2;portalegre;0
Carlos Manuel Guimarães Oliveira Pinto;IL;1;porto;1
Ana Patrícia Costa Gilvaz;IL;2;porto;0
Vicente Maria Barbedo Marques Ferreira Da Silva;IL;3;porto;1
João Nuno Alves Ambrósio Aguiar Monteiro;IL;4;porto;1
Matilde Gouveia Rocha;IL;5;porto;0
Rafael Corte Real de Sampaio Rafael;IL;6;porto;1
Tiago Emanuel Sampaio Vieira;IL;7;porto;1
Ariana Ofélia Figueiredo Moreira Martins;IL;8;porto;0
Ricardo Inácio Veloso Zamith de Passos;IL;9;porto;1
Tiago José Pires de Oliveira Martins;IL;10;porto;1
Maria Sofia Aires Pereira Correia de Matos Paixão Fontes;IL;11;porto;0
Frederico José de Sousa Lemos;IL;12;porto;1
Jorge das Neves Freitas;IL;13;porto;1
Ana Luísa Baptista Carvalho Magalhães da Silva;IL;14;porto;0
Albino Bruno da Silva Ramos;IL;15;porto;1
António Agostinho Cardoso da Conceição Guedes;IL;16;porto;1
Maria Cândida dos Santos Boia;IL;17;porto;0
José Ricardo da Costa Andrade;IL;18;porto;1
Pedro Petiz de Castro Viana;IL;19;porto;1
Ana Sofia Silva Neves Alves;IL;20;porto;0
João Resende Pinto Figueiredo;IL;21;porto;1
Vasco Pinho Pereira Granja;IL;22;porto;1
Mariana Mendes Nina Silvestre;IL;23;porto;0
Samantha da Silva Adalfio;IL;24;porto;0
José Filipe Queirós dos Santos Carneiro;IL;25;porto;1
Natacha Filipa da Silva Santos;IL;26;porto;0
António Joaquim de Lima Teixeira;IL;27;porto;1
Carla Sofia Aires de Sousa Neto;IL;28;porto;0
Camilo Filipe Da Costa Rebelo;IL;29;porto;1
Joana Filipa Da Silva e Sousa;IL;30;porto;0
Pedro Gonçalo Gomes Cecílio Oliveira Norte;IL;31;porto;1
Carlos Eduardo Aranha e Costa;IL;32;porto;1
Sandra Raquel da Costa Martins;IL;33;porto;0
Verónica Adelina Carvalho Branco;IL;34;porto;0
Pedro Miguel Vilaça Ferreira;IL;35;porto;1
Ana Cristina da Silva Nunes Vieira;IL;36;porto;0
João Pedro da Silva Monteiro;IL;37;porto;1
Vitor Mário da Silva Ribeiro;IL;38;porto;1
Rita Areias Coelho Lima;IL;39;porto;0
Ricardo Alberto da Fonseca Gouveia;IL;40;porto;1
Ana Cristina Saraiva Sirgado Rodrigues;IL;1;santarem;0
Afonso Cabral Chora Claudino das Neves;IL;2;santarem;1
Raquel Tomé Gaspar;IL;3;santarem;0
Matheus de Paula Costa;IL;4;santarem;1
Tiago Gonçalves Maia Prazeres;IL;5;santarem;1
Mercedes Dinis Alves;IL;6;santarem;0
João Carlos Gaspar da Silva Gomes;IL;7;santarem;1
Pedro Miguel Ferreira de Sousa Rodrigues;IL;8;santarem;1
Patrícia Melgada Coutinho;IL;9;santarem;0
Joana Rita Madaleno Cordeiro;IL;1;setubal;0
Miguel José de Almada Contreiras de Piedade de Noronha;IL;2;setubal;1
Marta Cristina Belmonte Pereira;IL;3;setubal;0
João Miguel de Carvalho da Conceição Pereira;IL;4;setubal;1
Rodrigo Gonçalves da Silva;IL;5;setubal;1
Beatriz Carolina Jordão Silva;IL;6;setubal;0
José Luis Ciríaco Valente Magoito;IL;7;setubal;1
Maria João dos Santos Pinto Castanheiro Guerreiro;IL;8;setubal;0
Susana Inês Matinhos Marques;IL;9;setubal;0
Mauro André da Cunha Santos;IL;10;setubal;1
Ana Lúcia Matos Simões Lança;IL;11;setubal;0
Luís Paulo Gonçalves Neves;IL;12;setubal;1
Luís Filipe do Carmo Arcângelo;IL;13;setubal;1
Susana Paula Rosa Bicho;IL;14;setubal;0
César Miguel Rodrigues Mourão da Costa;IL;15;setubal;1
Susana Filipa Gonçalves do Sacramento Mesquita;IL;16;setubal;0
Daniel Eduardo Ferreira de Melo;IL;17;setubal;1
Diogo Piteira Prates;IL;18;setubal;1
Maria Ivone de Sousa Marques;IL;1;viana_c;0
Pedro Miguel Dias da Silva;IL;2;viana_c;1
Paula Cristina Pinto Amorim;IL;3;viana_c;0
Jonathan Neves Garcia de Matos;IL;4;viana_c;1
Maria Isabel Dias Fernandes Cambão;IL;5;viana_c;0
João Fernando Dantas Lima;IL;6;viana_c;1
Joana Margarida Magalhães Ferreira;IL;1;vila_r;0
João Paulo da Rocha de Sousa Guedes Alves;IL;2;vila_r;1
Luís Filipe Baldaia Ferreira Vaz Pimentel;IL;3;vila_r;1
Maria João Lisboa de Sousa Gomes Cabral;IL;4;vila_r;0
Pedro João Magalhães Ermida Ferreira;IL;5;vila_r;1
Sérgio Lopes Figueiredo;IL;1;viseu;1
Marisa Emanuela das Neves Figueiredo;IL;2;viseu;0
Luís Miguel Inácio Guedes;IL;3;viseu;1
Maria de Fátima dos Anjos Colaço;IL;4;viseu;0
Filipe Amorim Barbosa;IL;5;viseu;1
Andreia Alexandra Baptista da Cunha;IL;6;viseu;0
Filipe Xavier Capaz;IL;7;viseu;1
Alberto Rodrigues dos Santos;IL;8;viseu;1
Duarte Paulo Brazão Gouveia;IL;1;madeira;1
Alícia Maria de Nóbrega Teixeira;IL;2;madeira;0
José Carlos Gonçalves;IL;3;madeira;1
Carla Chatterley de Matos;IL;4;madeira;0
Victor Emanuel Ornelas Gomes;IL;5;madeira;1
José Augusto de Sousa Martins;IL;6;madeira;1
Pedro Miguel de Borba Ferreira;IL;1;acores;1
Hugo Berto da Costa Sousa Almeida;IL;2;acores;1
Raquel Maria da Silva Gonçalves e Vieira Gomes;IL;3;acores;0
Luis Filipe Monteiro de Campos;IL;4;acores;1
Rúben Miguel Costa Reis;IL;5;acores;1
Maria Carolina Duque Correia Diniz;IL;1;europa;0
Manuel José Aires Ventura de Oliveira Baptista;IL;2;europa;1
Nuno Manuel Soares de Oliveira da Rosa Garoupa;IL;1;fora;1
Cândida Andreia Pinto Borges de Macedo;IL;2;fora;0
Joana Ferreira Filipe;L;1;aveiro;0
João Quintela Santos;L;2;aveiro;1
Aurora Celeste Coelho e Silva Cerqueira;L;3;aveiro;0
Tiago Daniel Vieira da Cruz;L;4;aveiro;1
Laetitia da Costa;L;5;aveiro;0
Miguel Duarte Gonçalves;L;6;aveiro;1
Maria Teresa Braga Paixão de Almeida Leitão;L;7;aveiro;0
Martim Miguel Gomes da Costa de Brito Barreto;L;8;aveiro;1
Cristina Maria Ramalheira de Araújo;L;9;aveiro;0
Gonçalo Salvador Ribeiro e Castro;L;10;aveiro;1
Sofia Perestrelo de Vasconcelos Cardoso Pereira;L;11;aveiro;0
Robert Andros Martins Junqueira;L;12;aveiro;1
Gabriela Ferreira Pinho Souto de Miranda;L;13;aveiro;0
Licínio Aguilar Machado;L;14;aveiro;1
Ana Sofia Lobo Lousada;L;15;aveiro;0
André da Conceição Góis Fernandes;L;16;aveiro;1
João Manuel Aiveca Caseiro;L;1;beja;1
Maria Amélia Gonçalves da Cruz;L;2;beja;0
Francisco Maria Abreu do Nascimento Lampreia Burnay;L;3;beja;1
Teresa Salomé Alves da Mota;L;1;braga;0
Manuel Alfredo de Lima Oliveira;L;2;braga;1
Filipa Mariana Fernandes da Silva Barros;L;3;braga;0
Nuno Ribeiro Nunes de Oliveira;L;4;braga;1
Rosa Maria Faria Pereira do Vale – Independente;L;5;braga;0
Bruno Machado;L;6;braga;1
Maria Augusta dos Anjos da Silva Ribeiro – Independente;L;7;braga;0
José Carlos de Azevedo Flores da Costa Vieira;L;8;braga;1
Vanessa Fernandes Brandão;L;9;braga;0
Fernando Joaquim de Castro Martins;L;10;braga;1
Elisabete Fernandes da Cunha – Independente;L;11;braga;0
Augusto Manuel Oliveira Ramoa Rodrigues;L;12;braga;1
Isabel Cristina Fernandes Branco – Independente;L;13;braga;0
Waldir Spencer Pimenta Lima – Independente;L;14;braga;1
