Candidato;Partido;Ordem2;Circ;Gend
Dora Maria Batista Cruz Viegas;BE;31;lisboa;0
Jorge Humberto Berardo Nogueira;BE;32;lisboa;1
Joana Filipa Amaral Grilo;BE;33;lisboa;0
Ana Isabel Monteiro Vieira de Castro;BE;34;lisboa;0
Hugo Filipe Coelho Parreira;BE;35;lisboa;1
Ana Rita Durães Cardoso;BE;36;lisboa;0
Carlos Luís da Costa Gonçalves;BE;37;lisboa;1
Joana Filipa Mourisca e Pires Teixeira;BE;38;lisboa;0
Maria Isabel Sousa Alcobia;BE;39;lisboa;0
Bernardo Manuel Caravau Guedes Camisa;BE;40;lisboa;1
Maria Pinto de Carvalho Escaja Gonçalves;BE;41;lisboa;0
Luís Miguel Almeida Santos;BE;42;lisboa;1
Carla Cecília de Almeida Travessa;BE;43;lisboa;0
João Luís Lima de Morais;BE;44;lisboa;1
António Freire Fazenda;BE;45;lisboa;1
Catarina Bendito de Medeiros;BE;46;lisboa;0
Luís Miguel Janeiro Mós;BE;47;lisboa;1
Maria Isabel Pinto Ventura;BE;48;lisboa;0
Cecília Maria Mateus Lopes Carrilho;BE;1;portalegre;0
José Carlos Soares;BE;2;portalegre;1
Catarina Soares Martins;BE;1;porto;0
José Borges de Araújo de Moura Soeiro;BE;2;porto;1
Isabel Cristina Rua Pires;BE;3;porto;0
Maria Teresa Burnay Summavielle;BE;4;porto;0
Adriano Pereira Campos;BE;5;porto;1
Vânia Patrícia Abreu Felício;BE;6;porto;0
Fernando Manuel Costa Barbosa;BE;7;porto;1
Nelson de Jesus Martins da Silva;BE;8;porto;1
Sónia Paula de Magalhães Garrido de Sousa;BE;9;porto;0
Hugo Jorge Fabião Veludo Silva e Sousa;BE;10;porto;1
Ana Isabel Carneiro Gouveia da Silva;BE;11;porto;0
Rita de Aires Pacheco Domingues;BE;12;porto;0
Pedro Miguel Pereira Faria;BE;13;porto;1
Ana Rute Sobral Marcelino;BE;14;porto;0
Carla Liliana Pais Pires Quintas;BE;15;porto;0
Serafim Jorge Leal Soares;BE;16;porto;1
João Pedro de Andrade Pinho da Silva;BE;17;porto;1
Amarilis Vaz Felizes;BE;18;porto;0
Maria da Conceição Azevedo Sereno;BE;19;porto;0
Jorge Miguel Seixas de Albuquerque;BE;20;porto;1
Nuno Miguel Barbosa Almeida Silva;BE;21;porto;1
Ana Filipa da Silva Morais De Afonseca;BE;22;porto;0
Elisabete Susana Vieira Carvalho;BE;23;porto;0
Hugo Filipe Carvalho Teixeira Monteiro;BE;24;porto;1
Silvestre Santos Gomes Pereira;BE;25;porto;1
Andrea Luís Valente Rodrigues de Castro Peniche;BE;26;porto;0
António Sousa Soares;BE;27;porto;1
Rui Pedro Rodrigues de Lima Moreira;BE;28;porto;1
Beatriz Lima Vieira;BE;29;porto;0
Evandra Isabel Amor Gonçalves Almeida;BE;30;porto;0
Filipe Colim Gabriel;BE;31;porto;1
Luísa Maria Porto Ferreira da Silva;BE;32;porto;0
Sérgio Alfredo Conceição da Silva e Sousa;BE;33;porto;1
Duarte João da Costa Graça;BE;34;porto;1
Sara Cristina Oliveira dos Santos;BE;35;porto;0
Sílvia Raquel Marques Agra;BE;36;porto;0
Paulo Jorge Santos Oliveira;BE;37;porto;1
Mariana Faria Pereira;BE;38;porto;0
Tiago José Novais Matos;BE;39;porto;1
Manuel Fernando Morais Vieira;BE;40;porto;1
Fabíola da Cruz Neto Cardoso;BE;1;santarem;0
Mariana Martins Varela;BE;2;santarem;0
Paulo Cristiano Rosa Ferreira Marques;BE;3;santarem;1
Luís Artur Ribeiro Gomes;BE;4;santarem;1
Maria da Conceição Marques dos Anjos;BE;5;santarem;0
Henrique dos Reis Leal;BE;6;santarem;1
Maria da Luz Alves Lopes;BE;7;santarem;0
Tiago Costa Carvalho;BE;8;santarem;1
Joana Filipa Vidigal Cardoso Patrício;BE;9;santarem;0
Joana Rodrigues Mortágua;BE;1;setubal;0
Diana Vanessa da Conceição dos Santos;BE;2;setubal;0
Daniel Cardoso Bernardino;BE;3;setubal;1
Tânia Sofia Barroso Ramos;BE;4;setubal;0
Adelino Manuel Guimarães Fortunato;BE;5;setubal;1
Mário André Pinheiro de Magalhães Macedo;BE;6;setubal;1
Sónia Sofia Pereira Figueiredo;BE;7;setubal;0
Inês Pezarat Correia Bom;BE;8;setubal;0
Joaquim Inácio Raminhos Cabaça;BE;9;setubal;1
Francisco Miguel Correia Morais Morais;BE;10;setubal;1
Márcia Patrícia Lima e Silva Soares;BE;11;setubal;0
Vanessa Sofia Tavares de Sousa;BE;12;setubal;0
Fernando Alberto Pinho Alves;BE;13;setubal;1
Ricardo José Monteiro da Silva Caçoila;BE;14;setubal;1
Mariana Vieira de Jesus Pires Ribeiro;BE;15;setubal;0
João Carlos Carvalho da Fonseca Pereira;BE;16;setubal;1
Andreia Patrícia Rodrigues Martins;BE;17;setubal;0
Leandro Philippe Xavier Lagarto;BE;18;setubal;1
Luís Filipe de Oliveira Louro;BE;1;viana_c;1
Susana Varela Braga;BE;2;viana_c;0
Jorge Manuel Gomes Teixeira;BE;3;viana_c;1
Maria de Lurdes dos Santos Sousa;BE;4;viana_c;0
